timestamp,gpu,util,mem_used,mem_total,power
2026-08-02T19:08:40+09:00,1, 100, 5293, 49140, 238.35
2026-08-02T19:09:10+09:00,0, 0, 11414, 49140, 99.86
2026-08-02T19:09:10+09:00,1, 0, 5293, 49140, 84.04
2026-08-02T19:09:40+09:00,0, 0, 11414, 49140, 83.13
2026-08-02T19:09:40+09:00,1, 100, 5293, 49140, 120.06
2026-08-02T19:10:10+09:00,0, 81, 11414, 49140, 159.60
2026-08-02T19:10:10+09:00,1, 80, 5293, 49140, 157.68
2026-08-02T19:10:40+09:00,0, 100, 11414, 49140, 236.50
2026-08-02T19:10:40+09:00,1, 100, 5293, 49140, 244.78
2026-08-02T19:11:11+09:00,0, 0, 11414, 49140, 152.54
2026-08-02T19:11:11+09:00,1, 0, 5293, 49140, 163.44
2026-08-02T19:11:41+09:00,0, 0, 11414, 49140, 86.65
2026-08-02T19:11:41+09:00,1, 0, 5293, 49140, 87.05
2026-08-02T19:12:11+09:00,0, 0, 11414, 49140, 166.25
2026-08-02T19:12:11+09:00,1, 0, 5293, 49140, 67.77
2026-08-02T19:12:41+09:00,0, 0, 11414, 49140, 112.62
2026-08-02T19:12:41+09:00,1, 48, 5293, 49140, 104.53
2026-08-02T19:13:11+09:00,0, 40, 11414, 49140, 229.87
2026-08-02T19:13:11+09:00,1, 100, 5293, 49140, 232.22
2026-08-02T19:13:41+09:00,0, 0, 11414, 49140, 156.64
2026-08-02T19:13:41+09:00,1, 0, 5293, 49140, 163.73
2026-08-02T19:14:11+09:00,0, 0, 11414, 49140, 103.40
2026-08-02T19:14:11+09:00,1, 0, 5293, 49140, 96.87
2026-08-02T19:14:41+09:00,0, 100, 11414, 49140, 197.24
2026-08-02T19:14:41+09:00,1, 100, 5293, 49140, 192.93
2026-08-02T19:15:11+09:00,0, 100, 11414, 49140, 176.15
2026-08-02T19:15:11+09:00,1, 0, 5293, 49140, 39.61
2026-08-02T19:15:41+09:00,0, 0, 11414, 49140, 109.24
2026-08-02T19:15:41+09:00,1, 0, 5293, 49140, 112.08
2026-08-02T19:16:11+09:00,0, 100, 11414, 49140, 203.63
2026-08-02T19:16:11+09:00,1, 100, 5293, 49140, 199.27
2026-08-02T19:16:41+09:00,0, 27, 11414, 49140, 230.48
2026-08-02T19:16:41+09:00,1, 54, 5293, 49140, 214.12
2026-08-02T19:17:11+09:00,0, 0, 11414, 49140, 127.50
2026-08-02T19:17:11+09:00,1, 0, 5293, 49140, 137.34
2026-08-02T19:17:41+09:00,0, 67, 11414, 49140, 235.80
